[root@openshift openshift]#
[root@openshift openshift]# oc get clusterserviceclass
NAME                                   EXTERNAL-NAME                                       BROKER                    AGE
90562176-c2a3-11e9-a3dc-000c29aa8fab   datagrid73-postgresql-persistent                    template-service-broker   33m
90578743-c2a3-11e9-a3dc-000c29aa8fab   datagrid73-postgresql                               template-service-broker   33m
9058bf51-c2a3-11e9-a3dc-000c29aa8fab   datavirt63-basic-s2i                                template-service-broker   33m
9059ef7c-c2a3-11e9-a3dc-000c29aa8fab   datavirt63-extensions-support-s2i                   template-service-broker   33m
905b4bc6-c2a3-11e9-a3dc-000c29aa8fab   datavirt63-secure-s2i                               template-service-broker   33m
905cb115-c2a3-11e9-a3dc-000c29aa8fab   decisionserver64-amq-s2i                            template-service-broker   32m
905db346-c2a3-11e9-a3dc-000c29aa8fab   decisionserver64-basic-s2i                          template-service-broker   33m
905f5d46-c2a3-11e9-a3dc-000c29aa8fab   decisionserver64-https-s2i                          template-service-broker   33m
9060623c-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-eap-camel-amq                            template-service-broker   33m
9061677d-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-eap-camel-cdi                            template-service-broker   33m
90626781-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-eap-camel-cxf-jaxrs                      template-service-broker   33m
90636a65-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-eap-camel-cxf-jaxws                      template-service-broker   33m
90648b7b-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-eap-camel-jpa                            template-service-broker   33m
9065fa42-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-amq-persistent-s2i                           template-service-broker   33m
90675965-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-amq-s2i                                      template-service-broker   33m
90692adc-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-basic-s2i                                    template-service-broker   33m
906aae6e-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-https-s2i                                    template-service-broker   33m
906bfdc8-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-mongodb-persistent-s2i                       template-service-broker   33m
906d87d6-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-mongodb-s2i                                  template-service-broker   33m
906ee12a-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-mysql-persistent-s2i                         template-service-broker   33m
9070140b-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-mysql-s2i                                    template-service-broker   33m
90715792-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-postgresql-persistent-s2i                    template-service-broker   33m
9072b4ae-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-postgresql-s2i                               template-service-broker   33m
9073fba6-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-sso-s2i                                      template-service-broker   33m
9075f3aa-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-starter-s2i                                  template-service-broker   33m
90771c77-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-third-party-db-s2i                           template-service-broker   33m
90786ad9-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-tx-recovery-postgresql-s2i                   template-service-broker   33m
9079d6f4-c2a3-11e9-a3dc-000c29aa8fab   eap-cd-tx-recovery-s2i                              template-service-broker   32m
907b3acd-c2a3-11e9-a3dc-000c29aa8fab   eap64-amq-persistent-s2i                            template-service-broker   33m
907d2da7-c2a3-11e9-a3dc-000c29aa8fab   eap64-amq-s2i                                       template-service-broker   33m
907e52ab-c2a3-11e9-a3dc-000c29aa8fab   eap64-basic-s2i                                     template-service-broker   33m
907f6311-c2a3-11e9-a3dc-000c29aa8fab   eap64-https-s2i                                     template-service-broker   33m
9081c81d-c2a3-11e9-a3dc-000c29aa8fab   eap64-mongodb-persistent-s2i                        template-service-broker   33m
90832cbf-c2a3-11e9-a3dc-000c29aa8fab   eap64-mongodb-s2i                                   template-service-broker   33m
90848b8d-c2a3-11e9-a3dc-000c29aa8fab   eap64-mysql-persistent-s2i                          template-service-broker   33m
9085c1a8-c2a3-11e9-a3dc-000c29aa8fab   eap64-mysql-s2i                                     template-service-broker   33m
90870dd3-c2a3-11e9-a3dc-000c29aa8fab   eap64-postgresql-persistent-s2i                     template-service-broker   33m
90883e4d-c2a3-11e9-a3dc-000c29aa8fab   eap64-postgresql-s2i                                template-service-broker   33m
9089681b-c2a3-11e9-a3dc-000c29aa8fab   eap64-sso-s2i                                       template-service-broker   33m
908aae8e-c2a3-11e9-a3dc-000c29aa8fab   eap64-third-party-db-s2i                            template-service-broker   33m
908c47b8-c2a3-11e9-a3dc-000c29aa8fab   eap64-tx-recovery-postgresql-s2i                    template-service-broker   33m
908d7e90-c2a3-11e9-a3dc-000c29aa8fab   eap64-tx-recovery-s2i                               template-service-broker   33m
908eb5e4-c2a3-11e9-a3dc-000c29aa8fab   eap71-amq-persistent-s2i                            template-service-broker   33m
908fedea-c2a3-11e9-a3dc-000c29aa8fab   eap71-amq-s2i                                       template-service-broker   33m
9090fd56-c2a3-11e9-a3dc-000c29aa8fab   eap71-basic-s2i                                     template-service-broker   33m
9092042a-c2a3-11e9-a3dc-000c29aa8fab   eap71-https-s2i                                     template-service-broker   33m
90933bd2-c2a3-11e9-a3dc-000c29aa8fab   eap71-mongodb-persistent-s2i                        template-service-broker   33m
9094baa4-c2a3-11e9-a3dc-000c29aa8fab   eap71-mongodb-s2i                                   template-service-broker   33m
9095f9ab-c2a3-11e9-a3dc-000c29aa8fab   eap71-mysql-persistent-s2i                          template-service-broker   33m
90973ce8-c2a3-11e9-a3dc-000c29aa8fab   eap71-mysql-s2i                                     template-service-broker   33m
909884fd-c2a3-11e9-a3dc-000c29aa8fab   eap71-postgresql-persistent-s2i                     template-service-broker   33m
9099c080-c2a3-11e9-a3dc-000c29aa8fab   eap71-postgresql-s2i                                template-service-broker   33m
909b0032-c2a3-11e9-a3dc-000c29aa8fab   eap71-sso-s2i                                       template-service-broker   32m
909c2c52-c2a3-11e9-a3dc-000c29aa8fab   eap71-third-party-db-s2i                            template-service-broker   33m
909d5c14-c2a3-11e9-a3dc-000c29aa8fab   eap71-tx-recovery-s2i                               template-service-broker   33m
909ee76c-c2a3-11e9-a3dc-000c29aa8fab   eap72-amq-persistent-s2i                            template-service-broker   33m
90a0cacc-c2a3-11e9-a3dc-000c29aa8fab   eap72-amq-s2i                                       template-service-broker   33m
90a1d56b-c2a3-11e9-a3dc-000c29aa8fab   eap72-basic-s2i                                     template-service-broker   33m
90a2f773-c2a3-11e9-a3dc-000c29aa8fab   eap72-https-s2i                                     template-service-broker   33m
90a44262-c2a3-11e9-a3dc-000c29aa8fab   eap72-mongodb-persistent-s2i                        template-service-broker   33m
